#auto.ord	auto.parent.ord	auto.deprel	gold.ord	gold.parent.ord	gold.deprel	parent_match	PreGenNmod
18	17	nmod	18	17	nmod	correct	
19	18	amod	19	18	amod	correct	
20	27	punct	20	27	punct	correct	
21	22	case	21	22	case	correct	
22	27	obl	22	27	obl	correct	
23	25	punct	23	25	punct	correct	
24	25	case	24	25	case	correct	
25	22	conj	25	22	conj	correct	
26	27	obl:arg	26	27	obl:arg	correct	
27	17	conj	27	17	amod	correct	
28	1	punct	28	4	punct	wrong	
1	4	cc	1	3	cc	wrong	
2	4	cop	2	3	cop	wrong	
3	4	nsubj	3	0	root	wrong	
4	0	root	4	3	nsubj	wrong	
5	4	amod	5	4	amod	correct	
6	7	punct	6	10	punct	wrong	
7	5	obl	7	10	obl	wrong	
8	10	punct	8	9	punct	wrong	
9	10	obl:arg	9	7	conj	wrong	
10	7	amod	10	5	appos	wrong	
11	10	punct	11	10	punct	correct	
12	17	cc	12	21	cc	wrong	
13	17	cc	13	21	advmod:emph	wrong	
14	17	case	14	17	case	correct	
15	17	det	15	17	det	correct	
16	17	amod	16	17	amod	correct	
17	4	conj	17	21	obl	wrong	
18	20	case	18	20	case	correct	
19	20	amod	19	20	amod	correct	
20	21	obl:arg	20	21	obl	correct	
21	4	conj	21	10	conj	wrong	
22	4	punct	22	4	punct	correct	
1	5	mark	1	5	mark	correct	
2	5	cc	2	5	advmod:emph	correct	
3	5	xcomp	3	5	xcomp	correct	
4	5	advmod	4	5	advmod	correct	
5	13	advcl	5	13	advcl	correct	
6	11	punct	6	11	punct	correct	
7	11	cc	7	11	advmod:emph	correct	
8	10	case	8	10	case	correct	
9	10	amod	9	10	amod	correct	
10	11	obl:arg	10	11	obl:arg	correct	
11	5	conj	11	5	conj	correct	
12	5	punct	12	5	punct	correct	
13	0	root	13	0	root	wrong	
14	13	xcomp	14	13	xcomp	correct	
15	18	obl	15	18	obl	correct	
16	18	obj	16	18	obj	correct	
17	16	det	17	16	det	correct	
18	13	xcomp	18	13	xcomp	correct	
19	21	punct	19	21	punct	correct	
20	21	cc	20	21	punct	correct	
21	13	conj	21	13	parataxis	correct	
22	30	punct	22	30	punct	correct	
23	30	punct	23	30	punct	correct	
24	30	mark	24	30	advcl	correct	
25	27	punct	25	27	punct	correct	
26	27	mark	26	27	mark	correct	
27	30	dep	27	29	acl	wrong	
28	27	punct	28	27	punct	correct	
29	30	obl	29	30	obl	correct	
30	21	conj	30	21	ccomp	correct	
31	13	punct	31	13	punct	correct	
1	0	root	1	0	root	wrong	
2	1	obl:arg	2	1	obl	correct	
3	1	nsubj	3	1	dep	correct	
4	3	amod	4	3	amod	correct	
5	6	punct	5	6	punct	correct	
6	1	conj	6	1	parataxis	correct	
7	6	obl	7	9	nmod	wrong	1
8	6	obl:arg	8	6	obl	correct	
9	6	obj	9	6	nsubj	correct	
10	6	punct	10	6	punct	correct	
11	14	cc	11	14	cc	correct	
12	14	nsubj:pass	12	14	nsubj:pass	correct	
13	12	amod	13	12	amod	correct	
14	1	conj	14	6	conj	wrong	
15	14	aux:pass	15	14	aux:pass	correct	
16	17	case	16	17	case	correct	
17	14	obl	17	14	obl	correct	
18	14	obl:arg	18	14	obl	correct	
19	21	case	19	21	case	correct	
20	21	amod	20	21	amod	correct	
21	14	obl	21	14	obl	correct	
22	1	punct	22	1	punct	correct	
1	0	root	1	0	root	wrong	
2	1	nsubj	2	1	nsubj	correct	
3	5	punct	3	5	punct	correct	
4	5	punct	4	5	punct	correct	
5	1	conj	5	1	parataxis	correct	
6	5	obj	6	5	obj	correct	
7	9	advmod:emph	7	9	advmod:emph	correct	
8	9	case	8	9	case	correct	
9	5	obl	9	5	obl	correct	
10	11	nsubj	10	5	nsubj	wrong	
11	5	conj	11	10	conj	wrong	
12	22	punct	12	22	punct	correct	
13	22	nsubj	13	22	nsubj	correct	
14	22	cc	14	22	advmod:emph	correct	
15	13	xcomp	15	22	advcl	wrong	
16	15	obl	16	15	obl:agent	correct	
17	15	obl	17	16	nmod	wrong	
18	15	advmod	18	22	advmod	wrong	
19	20	cc	19	20	cc	correct	
20	18	conj	20	18	conj	correct	
21	22	expl:pv	21	22	expl:pv	correct	
22	1	conj	22	1	parataxis	correct	
23	1	punct	23	1	punct	correct	
1	0	root	1	0	root	wrong	
2	1	expl:pv	2	1	expl:pv	correct	
3	1	nsubj	3	1	nsubj	correct	
4	1	obl	4	5	amod	wrong	
5	3	flat:foreign	5	3	nmod	correct	
6	1	punct	6	9	punct	wrong	
7	1	case	7	9	case	wrong	
8	1	obl	8	9	nmod	wrong	
9	1	obl	9	1	obl	correct	
10	1	obl	10	1	conj	correct	
11	12	case	11	13	case	wrong	
12	1	obl	12	13	det	wrong	
13	1	obl	13	1	obj	correct	
14	15	punct	14	15	punct	correct	
15	1	conj	15	1	parataxis	correct	
16	17	case	16	17	case	correct	
17	15	obl	17	15	obl	correct	
18	15	nsubj	18	15	nsubj	correct	
19	28	punct	19	21	punct	wrong	
20	21	punct	20	21	punct	correct	
21	28	obl	21	15	ccomp	wrong	
22	21	flat:foreign	22	21	nsubj	correct	
23	21	flat:foreign	23	21	flat:foreign	correct	
24	21	flat:foreign	24	23	nmod	wrong	
25	21	punct	25	21	punct	correct	
26	28	punct	26	21	punct	wrong	
27	28	obj	27	28	obj	correct	
28	1	conj	28	1	parataxis	correct	
29	30	det	29	30	det	correct	
30	28	nsubj	30	28	nsubj	correct	
31	1	punct	31	1	punct	correct	
1	2	advmod:emph	1	2	advmod:emph	correct	
2	3	nummod:gov	2	3	nummod:gov	correct	
3	9	obl	3	9	obl	correct	
4	9	advmod	4	9	advmod	correct	
5	9	nsubj	5	9	nsubj	correct	
6	7	case	6	7	case	correct	
7	9	obl	7	9	obl	correct	
8	9	expl:pv	8	9	expl:pv	correct	
9	0	root	9	0	root	wrong	
10	11	cc	10	11	cc	correct	
11	9	conj	11	9	conj	correct	
12	11	obj	12	11	obj	correct	
13	15	punct	13	15	punct	correct	
14	15	advmod	14	15	advmod	correct	
15	9	conj	15	9	advcl	correct	
16	15	obl:arg	16	15	obl:arg	correct	
17	16	nmod	17	16	nmod	correct	
18	20	punct	18	23	punct	wrong	
19	20	case	19	20	case	correct	
20	9	conj	20	23	nmod	wrong	
21	22	advmod	21	22	advmod	correct	
22	23	amod	22	23	amod	correct	
23	20	orphan	23	15	parataxis	wrong	
24	9	punct	24	9	punct	correct	
1	0	root	1	0	root	wrong	
2	1	obj	2	1	expl:pv	correct	
3	4	case	3	4	case	correct	
4	1	obl	4	1	obl	correct	
5	6	punct	5	6	punct	correct	
6	1	conj	6	1	conj	correct	
7	8	case	7	8	case	correct	
8	6	obl	8	6	obl	correct	
9	11	punct	9	11	punct	correct	
10	11	mark	10	11	mark	correct	
11	1	advcl	11	1	advcl	correct	
12	13	det	12	13	det	correct	
13	11	obl:arg	13	14	nmod	wrong	1
14	11	nsubj	14	11	nsubj	correct	
15	18	punct	15	18	punct	correct	
16	18	case	16	18	case	correct	
17	18	amod	17	18	amod	correct	
18	14	nmod	18	1	obl	wrong	
19	20	punct	19	20	punct	correct	
20	18	conj	20	18	conj	correct	
21	20	nmod	21	20	nmod	correct	
22	24	punct	22	24	punct	correct	
23	24	case	23	24	case	correct	
24	18	conj	24	18	conj	correct	
25	26	punct	25	26	punct	correct	
26	24	conj	26	24	conj	correct	
27	29	punct	27	29	punct	correct	
28	29	case	28	29	case	correct	
29	18	conj	29	18	conj	correct	
30	1	punct	30	1	punct	correct	
1	0	root	1	28	advmod	wrong	
2	3	mark	2	3	mark	correct	
3	1	dep	3	1	advcl	correct	
4	8	punct	4	8	punct	correct	
5	8	nsubj	5	8	nsubj	correct	
6	7	case	6	7	case	correct	
7	8	obl	7	8	obl	correct	
8	3	acl:relcl	8	3	acl:relcl	correct	
9	5	xcomp	9	8	advcl	wrong	
10	12	case	10	12	case	correct	
11	12	amod	11	12	amod	correct	
12	8	obl	12	9	obl	wrong	
13	15	punct	13	15	punct	correct	
14	15	advmod	14	15	advmod	correct	
15	8	conj	15	9	conj	wrong	
16	17	punct	16	17	punct	correct	
17	15	conj	17	15	conj	correct	
18	20	case	18	20	case	correct	
19	20	amod	19	20	amod	correct	
20	17	obl	20	17	obl	correct	
21	28	punct	21	28	punct	correct	
22	28	advmod	22	28	advmod	correct	
23	28	punct	23	28	punct	correct	
24	28	vocative	24	28	vocative	correct	
25	28	punct	25	28	punct	correct	
26	28	nsubj	26	28	xcomp	correct	
27	28	obj	27	28	obj	correct	
28	1	conj	28	0	root	wrong	
29	1	punct	29	28	punct	wrong	
1	0	root	1	0	root	wrong	
2	1	xcomp	2	1	xcomp	correct	
3	2	obj	3	1	obj	wrong	
4	2	advmod	4	2	advmod	correct	
5	6	punct	5	6	punct	correct	
6	4	conj	6	4	conj	correct	
7	8	punct	7	8	punct	correct	
8	2	conj	8	1	advmod	wrong	
9	10	case	9	10	case	correct	
10	8	orphan	10	8	obl	correct	
11	10	amod	11	10	amod	correct	
12	1	punct	12	1	punct	correct	
13	1	vocative	13	1	vocative	correct	
14	13	det	14	13	det	correct	
15	1	punct	15	1	punct	correct	
1	10	root	1	10	advmod	correct	
2	3	case	2	3	case	correct	
3	1	dep	3	10	obl	wrong	
4	5	punct	4	5	punct	correct	
5	3	conj	5	3	conj	correct	
6	5	amod	6	5	amod	correct	
7	10	nsubj	7	11	obj	wrong	
8	9	case	8	9	case	correct	
9	10	obl	9	10	obl	correct	
10	0	root	10	0	root	wrong	
11	10	nsubj	11	10	nsubj	correct	
12	10	punct	12	10	punct	correct	
1	5	advmod	1	5	advmod	correct	
2	3	case	2	3	case	correct	
3	5	obl	3	5	obl	correct	
4	5	nsubj	4	5	nsubj	correct	
5	0	root	5	0	root	wrong	
6	5	obj	6	4	nmod	wrong	
7	8	case	7	8	case	correct	
8	5	obl	8	5	obl	correct	
9	8	nmod	9	8	nmod	correct	
10	18	punct	10	18	punct	correct	
11	15	mark	11	15	mark	correct	
12	15	aux	12	15	aux	correct	
13	15	obj	13	15	obj	correct	
14	13	nmod	14	13	nmod	correct	
15	18	advcl	15	18	advcl	correct	
16	15	punct	16	15	punct	correct	
17	18	advmod	17	18	advmod	correct	
18	5	conj	18	5	conj	correct	
19	20	det	19	20	det	correct	
20	18	obj	20	18	obj	correct	
21	5	punct	21	5	punct	correct	
1	0	root	1	2	advmod	wrong	
2	1	conj	2	15	xcomp	wrong	
3	2	obl:arg	3	2	obl:arg	correct	
4	2	punct	4	5	punct	wrong	
5	2	conj	5	2	conj	correct	
6	2	obl:arg	6	5	obl:arg	wrong	
7	8	cc	7	8	cc	correct	
8	2	conj	8	2	conj	correct	
9	8	obl:arg	9	10	nmod	wrong	1
10	8	obl:arg	10	8	obl:arg	correct	
11	15	advmod	11	15	advmod	correct	
12	14	mark	12	14	mark	correct	
13	14	amod	13	14	amod	correct	
14	15	advcl	14	15	xcomp	correct	
15	1	conj	15	0	root	wrong	
16	15	xcomp	16	15	xcomp	correct	
17	16	obl:arg	17	16	obl:arg	correct	
18	17	nmod	18	17	nmod	correct	
19	1	punct	19	15	punct	wrong	
1	3	mark	1	3	mark	correct	
2	3	cop	2	3	cop	correct	
3	5	acl	3	5	acl	correct	
4	3	punct	4	3	punct	correct	
5	7	obj	5	7	obj	correct	
6	7	advmod	6	7	advmod	correct	
7	0	root	7	0	root	wrong	
8	13	punct	8	13	punct	correct	
9	13	cc	9	13	cc	correct	
10	11	case	10	11	case	correct	
11	12	obl	11	12	obl	correct	
12	13	xcomp	12	13	xcomp	correct	
13	7	conj	13	7	conj	correct	
14	7	punct	14	7	punct	correct	
1	2	obj	1	2	obj	correct	
2	4	acl:relcl	2	4	acl:relcl	correct	
3	2	punct	3	2	punct	correct	
4	7	obj	4	7	obj	correct	
5	4	det	5	4	det	correct	
6	7	obl:arg	6	7	obl:arg	correct	
7	0	root	7	0	root	wrong	
8	12	punct	8	12	punct	correct	
9	12	mark	9	12	mark	correct	
10	12	advmod	10	12	advmod	correct	
11	12	obj	11	12	obj	correct	
12	4	acl	12	7	advcl	wrong	
13	15	punct	13	15	punct	correct	
14	15	det	14	15	det	correct	
15	11	conj	15	12	conj	wrong	
16	18	cc	16	18	cc	correct	
17	18	det	17	18	det	correct	
18	15	conj	18	15	conj	correct	
19	21	punct	19	21	punct	correct	
20	21	mark	20	21	mark	correct	
21	12	conj	21	12	conj	correct	
22	21	aux	22	21	aux	correct	
23	21	obj	23	21	obj	correct	
24	25	case	24	25	case	correct	
25	21	obl	25	21	obl	correct	
26	7	punct	26	7	punct	correct	
1	2	cc	1	2	cc	correct	
2	0	root	2	0	root	wrong	
3	2	det	3	2	det	correct	
4	2	punct	4	2	punct	correct	
1	2	advmod:emph	1	2	advmod:emph	correct	
2	0	root	2	0	root	wrong	
3	2	nmod	3	2	nmod	correct	
4	5	punct	4	5	punct	correct	
5	3	conj	5	3	conj	correct	
6	7	punct	6	7	punct	correct	
7	5	conj	7	5	conj	correct	
8	9	punct	8	9	punct	correct	
9	3	conj	9	5	conj	wrong	
10	2	punct	10	2	punct	correct	
1	2	amod	1	2	amod	correct	
2	4	obl	2	4	obl:agent	correct	
3	4	advmod	3	4	advmod	correct	
4	0	root	4	0	root	wrong	
5	8	punct	5	8	punct	correct	
6	8	obl	6	8	obl:agent	correct	
7	8	advmod	7	8	advmod	correct	
8	4	conj	8	4	conj	correct	
9	4	punct	9	4	punct	correct	
1	4	obl	1	4	obl	correct	
2	3	case	2	3	case	correct	
3	1	nmod	3	1	nmod	correct	
4	0	root	4	0	root	wrong	
5	6	punct	5	6	punct	correct	
6	4	conj	6	1	conj	wrong	
7	8	case	7	8	case	correct	
8	6	orphan	8	6	nmod	correct	
9	12	punct	9	12	punct	correct	
10	12	nsubj	10	12	nsubj	correct	
11	12	obj	11	12	obj	correct	
12	4	conj	12	4	conj	correct	
13	12	obl	13	12	obl	correct	
14	4	punct	14	4	punct	correct	
1	2	cc	1	2	advmod:emph	correct	
2	0	root	2	0	root	wrong	
3	2	punct	3	2	punct	correct	
1	0	root	1	0	root	wrong	
2	3	det	2	3	det	correct	
3	1	conj	3	1	nmod	correct	
4	3	punct	4	3	punct	correct	
5	3	orphan	5	3	conj	correct	
6	3	orphan	6	5	amod	wrong	
7	3	punct	7	5	punct	wrong	
8	3	orphan	8	5	conj	wrong	
9	3	orphan	9	8	orphan	wrong	
10	3	punct	10	9	punct	wrong	
11	3	orphan	11	5	orphan	wrong	
12	3	orphan	12	5	orphan	wrong	
13	1	punct	13	1	punct	correct	
1	4	mark	1	4	mark	correct	
2	3	det	2	3	det	correct	
3	4	obj	3	4	obj	correct	
4	6	advcl	4	6	advcl	correct	
5	4	punct	5	4	punct	correct	
6	0	root	6	0	root	wrong	
7	6	xcomp	7	6	xcomp	correct	
8	9	case	8	9	case	correct	
9	7	obl	9	7	obl	correct	
10	11	punct	10	11	punct	correct	
11	6	conj	11	6	conj	correct	
12	11	advmod	12	11	advmod	correct	
13	6	punct	13	6	punct	correct	
1	2	case	1	2	case	correct	
2	3	obl	2	3	obl	correct	
3	0	root	3	0	root	wrong	
4	3	obj	4	3	obj	correct	
5	4	xcomp	5	2	amod	wrong	
6	11	punct	6	11	punct	correct	
7	11	advmod	7	11	advmod	correct	
8	9	amod	8	9	amod	correct	
9	11	nsubj	9	11	nsubj	correct	
10	11	obl	10	11	obl	correct	
11	2	acl:relcl	11	2	acl:relcl	correct	
12	14	punct	12	14	punct	correct	
13	14	advmod	13	14	advmod	correct	
14	11	conj	14	11	conj	correct	
15	16	case	15	16	case	correct	
16	14	obl	16	14	obl	correct	
17	14	obl	17	14	advmod	correct	
18	22	punct	18	22	punct	correct	
19	22	nsubj	19	22	nsubj	correct	
20	21	case	20	21	case	correct	
21	22	obl	21	22	obl	correct	
22	14	ccomp	22	14	ccomp	correct	
23	25	punct	23	25	punct	correct	
24	25	obj	24	25	obj	correct	
25	22	conj	25	22	conj	correct	
26	25	nsubj	26	25	nsubj	correct	
27	37	punct	27	37	punct	correct	
28	37	advmod	28	37	advmod	correct	
29	30	case	29	30	case	correct	
30	37	obl	30	37	obl	correct	
31	30	amod	31	37	xcomp	wrong	
32	33	punct	32	33	punct	correct	
33	31	conj	33	31	conj	correct	
34	37	expl:pv	34	37	expl:pv	correct	
35	36	det	35	36	det	correct	
36	37	obl:arg	36	37	obl:arg	correct	
37	3	conj	37	22	conj	wrong	
38	40	punct	38	40	punct	correct	
39	40	advmod	39	40	advmod	correct	
40	11	conj	40	50	advcl	wrong	
41	40	obl:arg	41	44	nmod	wrong	1
42	43	punct	42	43	punct	correct	
43	41	conj	43	41	conj	correct	
44	41	conj	44	40	obj	wrong	
45	50	punct	45	50	punct	correct	
46	50	advmod	46	50	advmod	correct	
47	50	xcomp	47	50	xcomp	correct	
48	50	obj	48	50	obj	correct	
49	50	obl	49	47	obl	wrong	
50	3	conj	50	3	conj	correct	
51	62	punct	51	62	punct	correct	
52	62	cc	52	62	cc	correct	
53	55	mark	53	55	mark	correct	
54	55	expl:pv	54	55	expl:pv	correct	
55	62	advcl	55	62	advcl	correct	
56	55	obl:arg	56	55	obl	correct	
57	55	punct	57	55	punct	correct	
58	62	advmod	58	62	advmod	correct	
59	62	punct	59	62	punct	correct	
60	62	vocative	60	62	vocative	correct	
61	62	punct	61	62	punct	correct	
62	3	conj	62	50	conj	wrong	
63	62	obj	63	62	obj	correct	
64	62	punct	64	66	punct	wrong	
65	66	case	65	66	case	correct	
66	62	obl	66	62	obl	correct	
67	3	punct	67	3	punct	correct	
1	0	root	1	0	root	wrong	
2	1	cop	2	1	cop	correct	
3	1	nsubj	3	1	nsubj	correct	
4	6	punct	4	5	punct	wrong	
5	6	amod	5	1	conj	wrong	
6	3	conj	6	5	orphan	wrong	
7	9	punct	7	10	punct	wrong	
8	9	mark	8	10	mark	wrong	
9	1	dep	9	10	nsubj	wrong	
10	9	nmod	10	1	advcl	wrong	
11	13	cc	11	13	cc	correct	
12	13	case	12	13	case	correct	
13	9	conj	13	10	conj	wrong	
14	13	nmod	14	13	orphan	correct	
15	1	punct	15	1	punct	correct	
1	5	dep	1	5	dep	correct	
2	5	punct	2	5	punct	correct	
3	5	dep	3	8	amod	wrong	
4	5	advmod:emph	4	5	advmod:emph	correct	
5	0	root	5	0	root	wrong	
6	5	obl:arg	6	5	obl:arg	correct	
7	5	xcomp	7	5	xcomp	correct	
8	7	obj	8	7	obj	correct	
9	10	punct	9	10	punct	correct	
10	8	appos	10	8	appos	correct	
11	10	flat:foreign	11	10	flat:foreign	correct	
12	10	flat:foreign	12	10	flat:foreign	correct	
13	5	punct	13	5	punct	correct	
1	2	advmod	1	2	advmod	correct	
2	0	root	2	0	root	wrong	
3	2	xcomp	4	2	xcomp	correct	
4	6	case	5	7	case	correct	
5	6	det	6	7	det	correct	
6	3	obl	7	4	obl	correct	
7	11	punct	8	12	punct	correct	
8	10	det	9	11	det	correct	
9	10	det	10	12	discourse	wrong	
10	11	obl	11	12	obl:agent	correct	
11	6	amod	12	2	parataxis	wrong	
12	13	det	13	14	det	correct	
13	11	nsubj:pass	14	12	nsubj:pass	correct	
14	16	punct	15	18	punct	correct	
15	16	nsubj	16	18	mark	correct	
16	11	conj	18	12	advmod	correct	
17	18	case	19	20	case	correct	
18	16	obl	20	18	obl	correct	
19	20	amod	21	22	amod	correct	
20	18	nmod	22	20	nmod	correct	
21	24	punct	23	26	punct	correct	
22	24	advmod	24	26	advmod	correct	
23	24	nsubj	25	26	nsubj	correct	
24	20	acl:relcl	26	22	acl:relcl	correct	
25	26	advmod	27	28	advmod	correct	
26	24	advmod	28	26	advmod	correct	
27	28	mark	29	30	mark	correct	
28	26	advcl	30	28	obl	correct	
29	2	punct	31	2	punct	correct	
			3	2	aux		
			17	18	aux		
1	23	cc	1	24	discourse	correct	
2	23	nsubj	2	24	nsubj	correct	
3	8	punct	3	9	punct	correct	
4	8	obj	4	9	obj	correct	
5	8	aux	5	9	aux	correct	
6	8	nsubj	6	9	aux	correct	
7	8	xcomp	8	9	xcomp	correct	
8	2	acl:relcl	9	2	acl:relcl	correct	
9	10	punct	10	11	punct	correct	
10	8	xcomp	11	8	conj	wrong	
11	12	case	12	13	case	correct	
12	10	obl	13	11	obl	correct	
13	10	obl	14	11	obl	correct	
14	15	case	15	16	case	correct	
15	13	nmod	16	11	obl	wrong	
16	17	amod	17	18	amod	correct	
17	15	nmod	18	16	nmod	correct	
18	8	punct	19	9	punct	correct	
19	23	advmod	20	24	advmod	correct	
20	23	advmod	21	24	advmod	correct	
21	22	cc	22	23	cc	correct	
22	20	conj	23	21	conj	correct	
23	0	root	24	0	root	wrong	
24	25	case	25	26	case	correct	
25	23	obl	26	24	obl	correct	
26	28	punct	27	29	punct	correct	
27	28	nsubj	28	29	nsubj	correct	
28	25	acl:relcl	29	26	acl:relcl	correct	
29	30	det	30	31	det	correct	
30	28	obj	31	29	obj	correct	
31	23	punct	32	24	punct	correct	
			7	9	obl:arg		
1	2	amod	1	2	amod	correct	
2	3	obj	2	3	obj	correct	
3	0	root	3	0	root	wrong	
4	3	obl	4	3	nsubj	correct	
5	4	cc	5	4	fixed	correct	
6	4	nmod	6	4	fixed	correct	
7	8	punct	7	8	punct	correct	
8	4	conj	8	4	conj	correct	
9	10	mark	9	8	fixed	wrong	
10	8	nmod	10	8	fixed	correct	
11	13	amod	11	13	amod	correct	
12	13	amod	12	13	amod	correct	
13	8	nmod	13	8	nmod	correct	
14	3	punct	14	3	punct	correct	
1	2	case	1	2	case	correct	
2	8	obl	2	10	obl	wrong	
3	6	punct	3	6	punct	correct	
4	6	nsubj:pass	4	6	obj	correct	
5	6	advmod	5	6	advcl	correct	
6	2	amod	6	2	acl:relcl	correct	
7	6	punct	7	6	punct	correct	
8	0	root	8	10	aux	wrong	
9	10	obl:arg	9	10	obl:arg	correct	
10	8	csubj	10	0	root	wrong	
11	10	obl	11	10	obl	correct	
12	11	amod	12	11	amod	correct	
13	8	punct	13	10	punct	wrong	
1	4	obj	1	4	obj	correct	
2	4	mark	2	4	mark	correct	
3	4	aux	3	4	aux	correct	
4	0	root	4	11	advcl	wrong	
5	8	punct	5	8	punct	correct	
6	8	nsubj	6	8	nsubj	correct	
7	8	expl:pv	7	8	expl:pv	correct	
8	4	ccomp	8	1	acl:relcl	wrong	
9	11	punct	9	11	punct	correct	
10	11	advmod	10	11	advmod	correct	
11	4	conj	11	0	root	wrong	
12	11	aux	12	11	aux	correct	
13	15	amod	13	15	amod	correct	
14	15	det	14	15	det	correct	
15	11	obj	15	11	obj	correct	
16	4	punct	16	11	punct	wrong	
1	2	advmod	1	2	advmod	correct	
2	0	root	2	0	root	wrong	
3	2	aux	3	2	aux	correct	
4	2	nsubj	4	2	nsubj	correct	
5	2	advmod	5	2	advmod	correct	
6	7	case	6	7	case	correct	
7	2	obl	7	2	obl	correct	
8	9	punct	8	9	punct	correct	
9	2	conj	9	2	xcomp	correct	
10	9	obl:arg	10	9	obl:arg	correct	
11	12	punct	11	12	punct	correct	
12	2	conj	12	9	xcomp	wrong	
13	15	punct	13	15	punct	correct	
14	15	cc	14	15	cc	correct	
15	12	conj	15	12	conj	correct	
16	15	obl:arg	16	15	obl:arg	correct	
17	2	punct	17	2	punct	correct	
1	0	root	1	5	xcomp	wrong	
2	5	punct	2	5	punct	correct	
3	5	advmod	3	5	advmod	correct	
4	5	aux	4	5	aux	correct	
5	1	conj	5	0	root	wrong	
6	5	obl	6	5	obl	correct	
7	8	punct	7	8	punct	correct	
8	5	conj	8	5	xcomp	correct	
9	8	obl:arg	9	8	obl:arg	correct	
10	12	punct	10	12	punct	correct	
11	12	nsubj	11	12	nsubj	correct	
12	9	acl:relcl	12	9	acl:relcl	correct	
13	12	aux	13	12	aux	correct	
14	1	punct	14	5	punct	wrong	
1	0	root	1	5	obj	wrong	
2	1	det:numgov	2	1	det:numgov	correct	
3	5	punct	3	4	punct	wrong	
4	5	obj	4	2	parataxis	wrong	
5	1	conj	5	0	root	wrong	
6	5	aux	6	5	aux	correct	
7	8	case	7	8	case	correct	
8	5	obl	8	5	obl	correct	
9	5	obl	9	8	det:nummod	wrong	
10	1	punct	10	5	punct	wrong	
1	3	cc	1	3	discourse	correct	
2	3	nsubj	2	3	nsubj	correct	
3	0	root	3	0	root	wrong	
4	3	punct	4	3	punct	correct	
1	3	advmod:emph	1	3	advmod:emph	correct	
2	3	case	2	3	case	correct	
3	14	obl	3	14	obl	correct	
4	3	nummod	4	3	nummod	correct	
5	6	punct	5	6	punct	correct	
6	14	parataxis	6	14	parataxis	correct	
7	6	obj	7	6	obj	correct	
8	9	mark	8	9	mark	correct	
9	6	advmod	9	6	advmod	correct	
10	6	punct	10	6	punct	correct	
11	14	nsubj	11	14	nsubj	correct	
12	13	case	12	13	case	correct	
13	14	obl	13	14	obl	correct	
14	0	root	14	0	root	wrong	
15	14	xcomp	15	14	xcomp	correct	
16	15	obj	16	15	obj	correct	
17	14	punct	17	14	punct	correct	
1	3	cop	1	3	cop	correct	
2	3	cc	2	3	cc	correct	
3	0	root	3	0	root	wrong	
4	5	punct	4	5	punct	correct	
5	3	conj	5	3	conj	correct	
